"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2026/07/02","セブンイレブン","-620","三井住友カード","食費","食料品","","0","t-0701"
"1","2026/07/03","JR東日本","-1320","Suica","交通費","電車","","0","t-0702"
"1","2026/07/05","スーパーマルエツ","-8450","三井住友カード","食費","食料品","","0","t-0703"
"1","2026/07/10","給与","320000","みずほ銀行","収入","給与","","0","t-0704"
"1","2026/07/12","Amazon.co.jp","-4980","三井住友カード","趣味・娯楽","その他","ポケカ スリーブ","0","t-0705"
"1","2026/07/15","家賃","-98000","みずほ銀行","住宅","家賃","","0","t-0706"
"1","2026/07/18","カード引き落とし","-52000","みずほ銀行","その他","振替","","1","t-0707"
"0","2026/07/20","立替（あとで精算）","-12000","三井住友カード","その他","立替","","0","t-0708"
"1","2026/07/22","スターバックス","-680","三井住友カード","食費","カフェ","","0","t-0709"
"1","2026/07/28","東京電力","-7200","みずほ銀行","水道・光熱費","電気代","","0","t-0710"
